11段階評価,物を共有する,室外?室内?,過疎?密集?,コロナ危険度,安全度(5段階)
釣り,5,2,2,1,5
BBQ,4,0,6,7,1
天体観測,2,3,3,1,5
ハイキング,0,0,2,0,5
カヌー,4,0,2,1,5
スカイダイビング,0,0,4,0,5
マリンスポーツ,6,0,6,4,3
キャンプ・グランピング,4,5,4,3,4
カラオケ,8,10,4,8,1
ゲームセンター,10,10,5,7,1
ビリヤード,8,10,4,7,1
ボウリング,10,10,6,7,1
コンセプトバー,3,10,8,5,2
サバゲー,5,0,5,3,4
スポーツ観戦(現地),6,5,10,8,1
ビュッフェ・バイキング,6,10,6,5,2
映画館,5,10,5,4,3
演劇・ミュージカル・ショー,3,8,7,4,3
プラネタリウム,3,10,5,3,4
ボルダリング,10,10,6,8,1
筋トレ・ジム,10,10,5,8,1
ヨガ教室,6,10,5,6,2
アーチェリー・射撃体験,5,5,4,3,4
陶芸・ガラス・手作り体験,5,9,5,3,4
エステ・マッサージ,6,10,1,3,4
日帰り温泉,4,7,6,5,2
お祭り,2,1,9,7,1
日帰りツアー,4,5,5,4,3
食べ歩き,1,2,5,3,4
フルーツ狩り,3,5,4,3,4
花火大会,0,0,9,8,1
魚市場,0,6,7,5,2
酒造見学,0,10,6,4,3
ボードゲーム(対面),10,10,4,7,1
占い,2,10,1,2,4
アニマルカフェ,6,10,6,5,2
音楽教室・体験,4,10,5,4,3
料理,0,10,0,0,5
遊園地・テーマパーク,8,3,8,7,1
水族館,2,9,6,5,2
博物館・美術館,2,10,5,4,3
イルミネーション,0,2,7,6,2
ショッピング,4,8,6,4,3
プール,9,5,7,8,1
フラワーパーク・植物園,2,4,5,3,4
動物園,2,0,5,3,4
飲み歩き,3,5,5,4,3
宅飲み,0,10,0,0,5
登山,0,0,3,0,5
脱出ゲーム,7,5,5,6,2
武道・格闘技体験,8,10,5,7,1
動画視聴,0,10,0,,5
麻雀,10,10,5,,1
図書館,8,10,4,,2
カフェ・喫茶店,0,10,3,,4
ラフティング,4,0,6,,3
パラグライダー,1,0,0,,5
バンジージャンプ,2,0,2,,5
スキューバダイビング,4,0,0,,5
パチンコ・パチスロ,9,10,8,,1
カメラ,0,5,1,,5
プラモデル製作,0,10,0,,5
テレビ・PCゲーム,0,10,0,,5
ドライブ,0,10,1,,5
お笑いライブ,3,5,6,,3
ダーツ,7,10,3,,3
バッティングセンター,7,8,1,,4
ゴルフ,3,0,2,,5
音楽イベント,0,10,6,,3
読書,0,5,0,,5